message,action
i need a pizza menu,PIZZA
"""yesterday was tuesday, and tomorrow will be thursday.",TIME
what's up?,GREET
the sky is blue.,WEATHER
how are you?,GREET
when is the summer term?,TIME
domino's is my favorite.,PIZZA
Hey do you have the time?,TIME
The wind blew a tree over,WEATHER
The temperature will be warm tomorrow,WEATHER
How long will it take for my pizza to get here?,PIZZA
"""Someone asked me if I would like a frozen banana. I said no, but maybe later, so yes!",JOKE
"""Hello, Iâ€™m Bennett.",GREET
When are the clouds going to break up?,WEATHER
"""You should leave early, the roads will be really bad due to the storm",WEATHER
Aloha!,GREET
Are you free?,TIME
When are you available?,TIME
We could switch out the tomato sauce for an alfredo base,PIZZA
Whatâ€™s up?,GREET
It was snowing so bad I could hardly see,WEATHER
I am running late.,TIME
"""What is black, white and red all over?",JOKE
Why did Dracula join the red cross?,JOKE
I would like a large pepperoni pizza.,PIZZA
Looks like we got here early,TIME
"""The roads iced up last night, I slipped twice walking down my driveway.",WEATHER
Ciao Bella!,GREET
Pleased to meet you.,GREET
"""About five years ago, I spent three hours working on a project",TIME
How have you been?,GREET
Iâ€™m not joking around here.,JOKE
"""When the clock strikes three, I will go",TIME
"""If the set up is good enough, almost any line will make people laugh.",JOKE
What time should we get there?,TIME
The time flew by yesterday.,TIME
Why did the chicken cross the road?,JOKE
I want something to dip my crust in,PIZZA
Hi friend.,GREET
How much does extra cheese cost?,PIZZA
"""Could I get it extra crispy, with pepperoncini?",PIZZA
Salutations!,GREET
"""Today or tomorrow, any time will work for me",TIME
Hey,GREET
Welcome back.,GREET
"""Hey, thatâ€™s a great joke!",JOKE
What time is it?,TIME
"""Have you heard the one about the bar tender, the mechanic, and the spawn of satan?",JOKE
It was such a perfect day to play outside,WEATHER
Are you free?,TIME
what jokes do you know,JOKE
what toppings do you like on your pizza,GREET
whats kicking,WEATHER
whats new with you,WEATHER
is it hailing,WEATHER
peppers,JOKE
hello frien,PIZZA
find me a joke,PIZZA
hows it going,PIZZA
what jokes are funny,JOKE
which country tells the most jokes,WEATHER
sleet,PIZZA
garlic,WEATHER
what time is it,GREET
do you know the temperature in degrees fahrenheit,PIZZA
hola,PIZZA
what kind of weather is pleasant,TIME
i want a large pepperoni pizza,WEATHER
who invented the joke,WEATHER
is it hot out,WEATHER
is it raining,PIZZA
do eggs go on pizza,WEATHER
what up,PIZZA
tell me a joke,WEATHER
what size pizza do you want,TIME
i want pepperoni pizza,WEATHER
how are you today,TIME
howdy,WEATHER
clock,PIZZA
hello jarvis,TIME
do you have a clock,TIME
what does the minute hand read,WEATHER
pepperoni,PIZZA
bonjour,TIME
onions,TIME
is it sunny,TIME
what is the best weather to ski in,PIZZA
snow,PIZZA
how are you doing,PIZZA
what is the temperature,PIZZA
whats the time,WEATHER
is it snowing outside,PIZZA
what is the weather like in florida,GREET
i want pizz,JOKE
why is pizza baked,GREET
can you tell me the time right now,JOKE
rain,PIZZA
do you know the time,TIME
get some pizza for me,TIME
is it warm out,WEATHER
why is pizza round,PIZZA
sleet,PIZZA
which country makes the best pizza,PIZZA
hi,PIZZA
watch,PIZZA
hows it hanging,TIME
whats up,GREET
is it snowing,GREET
do you know the temperature in degrees celsius,WEATHER
i want a pepperoni pizza,JOKE
medium,GREET
hey,GREET
pizza sauce,JOKE
large,PIZZA
what is the funniest joke,GREET
small,WEATHER
is it warm,GREET
sausage,GREET
who cooks pizza,PIZZA
how do people predict the weather,TIME
where can i hear funny jokes,WEATHER
what time is it in an hour,PIZZA
what time does your watch say,GREET
what is the weather like outside,WEATHER
i want a small pepperoni pizza,JOKE
time,WEATHER
do you know the time off the top of your head,TIME
is it hot outside,PIZZA
what time is it,PIZZA
tell me jokes,JOKE
hello,GREET
is salt put on pizza,WEATHER
is it sleeting,GREET
hail,GREET
why do jokes make people laugh,JOKE
i want pizza,JOKE
i want a medium pepperoni pizza,GREET
whats a good joke to say at someones funeral,WEATHER
pizza,PIZZA
should i become a weather forecaster,WEATHER
what time does the clock say,TIME
pizza crust,PIZZA
yo,GREET
stuffed crust,PIZZA
i like cheesy stuffed crust pizza,PIZZA
What gets wetter the more it dries? A towel,WEATHER
How much snow is there outside?,WEATHER
What's the difference between a guitar and a fish?,GREET
howdy,GREET
is it raining?,WEATHER
What kind of toppings do you want?,JOKE
how's it going?,PIZZA
Is it hot out?,PIZZA
What's your favorite kind of pizza?,GREET
how hot is it out there?,JOKE
Do you want olives?,JOKE
What do lawyers wear to court? Lawsuits,TIME
hey,WEATHER
What did the bacon say to the tomato? Lettuce get together,TIME
What is the best pizza topping?,TIME
Do you want to go get pepperoni pizza right now?,WEATHER
hello!,JOKE
hi,GREET
what's up?,WEATHER
What does a nosy pepper do? Gets jalapeno business!,WEATHER
hey there,JOKE
Can I have a large pizza?,GREET
What do you call an alligator in a vest?,TIME
Do you have the time?,PIZZA
I want some pizza.,GREET
what's new?,WEATHER
Can you see the clock?,PIZZA
What does the clock say?,GREET
how cloudy is it?,GREET
will it be nice out tomorrow?,PIZZA
Can I see your watch?,PIZZA
what's the temperature?,WEATHER
how cold is it?,TIME
what's the weather today?,JOKE
Do you have a watch on you?,PIZZA
Can you tell me the time?,TIME
will it rain,WEATHER
when did you last hear a good joke,JOKE
We have had rainy weather all week,WEATHER
how is the weather,WEATHER
what is the weather today,WEATHER
he has not had a slice,PIZZA
get me some pizza,PIZZA
can we meet at one,TIME
can you tell me the time right now,TIME
what is your favorite funny story,JOKE
I only eat New York style pizza,PIZZA
when did you last see her,TIME
Tell me a joke,JOKE
He cant stop joking,JOKE
They just ate pizza,PIZZA
Lets hear a funny joke,JOKE
is it raining,WEATHER
comedians tell jokes,JOKE
I want pizza,PIZZA
what is it like outside,WEATHER
we should order pizza,PIZZA
I need a slice of pizza,PIZZA
Its pouring out,WEATHER
the weather is cold,WEATHER
pass me a slice of pizza please,PIZZA
when is class,TIME
when does the film show,TIME
Deep dish pizza is bad,PIZZA
when will it be time to eat,TIME
When will the train arrive,TIME
I would like to hear a joke,JOKE
is it snowing,WEATHER
can we get a small pizza pie,PIZZA
"""Long time no see, Jarvis!",GREET
What time is it right now?,TIME
I hope it's going to be sunny tomorrow.,WEATHER
Can you tell me the time?,TIME
Give me a laugh!,JOKE
Hey Jarvis!,GREET
Howâ€™s it going?,GREET
"""Jarvis, order a pizza from Dominoâ€™s",PIZZA
Say something punny.,JOKE
Whatâ€™s the weather outside right now?,WEATHER
Hi Jarvis,GREET
Is it going to be cold later?,WEATHER
Whatâ€™s the forecast?,WEATHER
What time is it?,TIME
Say something funny,JOKE
Tell me what time it is.,TIME
Iâ€™d like a small cheese with extra tomato sauce.,PIZZA
Hello,GREET
Whatâ€™s the time?,TIME
Tell me the time,TIME
How are you?,GREET
I want a pepperoni pizza,PIZZA
Tell a funny joke,JOKE
Whatâ€™s the temperature?,WEATHER
Whatâ€™s the weather forecast for 05401?,WEATHER
Make a pun.,JOKE
Is it raining?,WEATHER
"""Hey jarvis, order me a cheese pizza.",PIZZA
Hello Jarvis,GREET
Order three extra large pizzas with no mushrooms.,PIZZA
Can i have a margherita pizza?,PIZZA
Whatâ€™s the time right now?,TIME
When is it supposed to snow?,WEATHER
Tell a knock-knock joke,JOKE
Tell me a joke,JOKE
How much rain are we getting?,WEATHER
Give me a hoot!,JOKE
Hi!,GREET
can you please tell me a joke jarvis,JOKE
im in the mood to hear something funny,JOKE
im in the mood for something funny,JOKE
how are you doing,GREET
what does the clock say right now,TIME
hi there,GREET
can i get the time please,TIME
can you find a restaurant to order from and get me a pizza,PIZZA
is it dry or humid today,WEATHER
hey there hi there ho there,GREET
jarvis what do you think is the funniest thing anyone has ever said to you please tell me,JOKE
is it going to rain today,WEATHER
is there something you could do to cheer me up,JOKE
let me know if its warm enough to not wear a jacket today,WEATHER
tell me a joke,JOKE
greetings and salutations jarvis,GREET
jarvis would you call the pizza place for me,PIZZA
i am hungry and would like you to order me a pizza,PIZZA
bonjour jarvis,GREET
what is the high and low for today,WEATHER
im hungry can you order a couple deep dishes for the crew,PIZZA
hi,GREET
what is the current time,TIME
is the sky clearing up,WEATHER
what is the weather right now,WEATHER
how does it look out there today,WEATHER
give me a medium with green peppers,PIZZA
whats the time at this moment,TIME
what does your watch say jarvis,TIME
can you order me a pizza,PIZZA
do you know any good knock knock jokes,JOKE
howdy there jarvis,GREET
knock knock,JOKE
order me a large meat lovers,PIZZA
id like one of those hot round cheesy things that people eat,PIZZA
is it sunny or cloudy right now,WEATHER
what is the temperature outside,WEATHER
jarvis call the pizza place down the street and order two smalls,PIZZA
hey jarvis,GREET
whats your best joke,JOKE
are the clouds starting to break,WEATHER
what part of the day is it right now,TIME
the current time right now is what jarvis,TIME
hiya jarvis,GREET
how is it going at this point in time,GREET
what time is it,TIME
get me a large pie and some coca cola too,PIZZA
do you know any good jokes,JOKE
is it hot or cold outside,WEATHER
hola senior,GREET
i would like a slice of pizza,PIZZA
should i bring a coat if i am going outside today,WEATHER
is it raining,WEATHER
i am in the mood for something round and hot and fresh with cheese and pepperoni can you get me one,PIZZA
whats shaking good buddy,GREET
can you get me a pza?,PIZZA
im hungry so can you order me a pizza please,PIZZA
hey whats going on with you today,GREET
i could go for a pizza,PIZZA
pizza has pepperoni!,PIZZA
What is there to eat?,PIZZA
Hello!,GREET
is there snow on the ground?,WEATHER
You make me laugh,JOKE
it sis good to finally meet you!,GREET
It is good to see you!,GREET
what time is it?,TIME
What is the time of day?,TIME
It seems really gray out,WEATHER
what is the time?,TIME
haha! laughing at jokes is fun!,JOKE
is it cold outside?,WEATHER
how are you?,GREET
how have you been doing?,GREET
is it clear out?,WEATHER
is the sky cloudy?,WEATHER
when is the food arriving?,PIZZA
knock knock!,JOKE
do I need a jacket?,WEATHER
can you order some food?,PIZZA
some jokes are funny!,JOKE
where are we eating?,PIZZA
I hope the pizza has extra cheese!,PIZZA
what clothes should I wear?,WEATHER
Hi Jarvis!,GREET
finished with testing,PIZZA
is it hot out?,WEATHER
is it raining?,WEATHER
It is so nice and bright outside,WEATHER
Goodbye! it has been good to meet you!,GREET
i am really hungry,PIZZA
"A man walked into a bar, ouch",JOKE
How are you doing?,GREET
I laugh when when you tell jokes!,JOKE
it is time to go,TIME
when is the meeting?,TIME
what kind of food do you want to eat?,PIZZA
What have you been up to?,GREET
is it the afternoon already?,TIME
It feels really lake in the day,TIME
what time of day is it?,TIME
should we have chicago or new york style pizza?,PIZZA
Ha! that is really funny,JOKE
tell me a joke,WEATHER
hello,JOKE
is it cold out?,GREET
get a pizza for me,GREET
hi jarvis,PIZZA
hey there,PIZZA
i could use a laugh,GREET
good afternoon,JOKE
good morning,PIZZA
order a pizza for me,GREET
tell me what time it is,TIME
is it nice out?,WEATHER
what is the weather,WEATHER
good evening,GREET
hello jarvis,GREET
make me laugh,JOKE
i want a pizza with cheese and pepperoni,PIZZA
could you tell me the time right now?,TIME
what hour is it?,TIME
what are the weather predictions,WEATHER
do you know any jokes?,JOKE
what is the time?,TIME
tell me something witty,JOKE
i would like to hear a joke,JOKE
is it raining or sunny?,WEATHER
i would like to know the time.,TIME
i'd like a pizza!,PIZZA
what is the weather prediction,WEATHER
what's the forecast,WEATHER
what's the time?,TIME
howdy,GREET
what part of the day is it?,TIME
how are you?,GREET
what's the temperature outside?,WEATHER
i'm hungry for a pizza,PIZZA
tell me a joke,JOKE
Yo Jarvis,GREET
Can you say a joke,JOKE
Could you tell me the time please?,TIME
You good?,GREET
Hello Jarvis,GREET
Hello,GREET
I NEED PIZZA,PIZZA
tell me a funny story,JOKE
say something funny!,JOKE
tell me the current weather please,WEATHER
How's the weather?,WEATHER
Can you tell me the current weather?,WEATHER
I would like to have one slice of pizza,PIZZA
How is the weather like?,WEATHER
Can you tell me the time?,TIME
Hi Jarvis,GREET
How is the weather?,WEATHER
Hi,GREET
How is everything going?,GREET
What is the weather forecast?,WEATHER
tell a joke,JOKE
please feed me with pizza,PIZZA
I really want some pizza,PIZZA
I am so hungry that I can eat two whole pizza all by myself,PIZZA
Can you tell me the time right now?,TIME
Can you check the time for me right now?,TIME
How's the weather like?,WEATHER
What time is it?,TIME
Can you please tell me a joke,JOKE
Can you check the time for me right now please?,TIME
Get me some pizza,PIZZA
let me know what the weather is,WEATHER
what is the time right now?,TIME
What's up Jarvis?,GREET
What's the time?,TIME
share a funny story,JOKE
Can you tell me the current weather please?,WEATHER
Do you know what time it is?,TIME
How is the weather like?,WEATHER
How are you?,GREET
i want a pizza,PIZZA
could you get me some pizza,PIZZA
can you check the time for me,TIME
what time is it,TIME
what's the weather like,WEATHER
do you have any jokes,JOKE
what's the chance of rain,WEATHER
good day to you,GREET
what's up,GREET
how are you,GREET
what's the weather,WEATHER
do you have the time,TIME
how much time is left,TIME
what's the temperature,WEATHER
heard anything funny lately,JOKE
what time is it right now,TIME
do you know any good jokes,JOKE
hi there,GREET
good morning,GREET
tell me a knock knock joke,JOKE
how are you today,GREET
what's it like out today,WEATHER
order a large pizza,PIZZA
can i get a pizza,PIZZA
hello jarvis,GREET
have you heard any good jokes,JOKE
i would like some pizza,PIZZA
tell me something funny,JOKE
is it going to rain,WEATHER
can you get me a pizza,PIZZA
heard any jokes lately,JOKE
can you order a pizza,PIZZA
what's the date today,TIME
will the temperature stay cold,WEATHER
what's a good joke,JOKE
how's the weather today,WEATHER
tell me a joke,JOKE
when is it right now,TIME
how's it going,GREET
do you know any jokes,JOKE
it's nice to see you,GREET
long time no see,GREET
is it raining,WEATHER
Do I need a coat?,WEATHER
I'm hungry.,PIZZA
Good afternoon to you!,GREET
Where is a fancy pizza place?,PIZZA
Is winter cold this year?,WEATHER
Why do bicycles fall over?,JOKE
What time does the store close?,TIME
Knock knock,JOKE
"""Get a pizza delivered, extra cheese.",PIZZA
It's a pleasure to meet you!,GREET
I want to eat a pizza.,PIZZA
Tell me something funny.,JOKE
Top of the morning to you Jarvis.,GREET
Do I need a rain coat?,WEATHER
I haven't seen you in forever Jarvis!,GREET
Are you free tonight?,TIME
Is the weather bad today?,WEATHER
I want some food.,PIZZA
Is it snowing?,WEATHER
What time does the store open?,TIME
What time should we meet?,TIME
What time does the movie start?,TIME
What goes up and down but does not move?,JOKE
Good morning.,GREET
Is it raining?,WEATHER
Are the roads icy today?,WEATHER
What did the dad say during comedy night?,JOKE
What time will you be ready?,TIME
Where is the nearest pizza place?,PIZZA
Make me laugh.,JOKE
When does the show end?,TIME
I want some food delivered.,PIZZA
Find me a vegan pizza place.,PIZZA
What temperature is it?,WEATHER
When should we meet?,TIME
What part of the car is the laziest?,JOKE
What do you get if you cross a Christmas tree we an iPad?,JOKE
When is it supposed to get warmer?,WEATHER
What do elves learn in school?,JOKE
I want pizza.,PIZZA
Hi Jarvis.,GREET
It's nice to meet you!,GREET
Order a large pepperoni.,PIZZA
"""Im hungry, get me a pie.",PIZZA
Hey man.,GREET
Is it going to rain today?,WEATHER
Good afternoon.,GREET
Tell me a joke.,JOKE
I want to hear a joke.,JOKE
What year is it?,TIME
Do you have the time?,TIME
Do computers understand dad jokes?,JOKE
Good day to you.,GREET
I want to hear something funny.,JOKE
What is the date and time?,TIME
Teach me a new joke.,JOKE
Time?,TIME
Is the weather nice today?,WEATHER
Whatâ€™s the weather like outside?,WEATHER
Get me a large pepperoni pie!,PIZZA
Hey,GREET
Good evening.,GREET
Place and order for some pizza in 30 minutes.,PIZZA
Hola Jarvis.,GREET
Order me pizza for lunch.,PIZZA
What time is it?,TIME
Hey Jarvis,GREET
Should I get my snow tires put on this weekend?,WEATHER
How are you?,GREET
Tell me something funny,JOKE
Howâ€™s the weather this weekend?,WEATHER
Im going to get a slice of cheese.,PIZZA
When will the rain stop?,WEATHER
Whats the military time right now?,TIME
Tell me a funny joke.,JOKE
Hey how are you today?,GREET
Howdy,GREET
Hey whats up?,GREET
Good morning.,GREET
Tell me the time.,TIME
Get me a pizza.,PIZZA
Whatâ€™s the high temperature today?,WEATHER
Tell me when its afternoon.,TIME
Itâ€™s time for lunch order me a pie.,PIZZA
Is it before noon?,TIME
Whatâ€™s the temperature going to be at noon?,WEATHER
Is it going to be cold and raining all day?,WEATHER
"""Man I need some cheesy, greasy pizza.",PIZZA
Hi there,GREET
Hello.,GREET
Howâ€™s it going?,GREET
what's the temperature?,WEATHER
Good Morning,GREET
what time is it jarvis?,TIME
do you have any puns?,JOKE
call Dominos and order us a pizza,PIZZA
what time is it?,TIME
how's it going,GREET
how's the weather,WEATHER
I want to hear a joke,JOKE
what's the time,TIME
i'm hungry for pizza,PIZZA
good afternoon,GREET
hey Jarvis,GREET
order me a pepperoni slice,PIZZA
tell me the time,TIME
say something funny,JOKE
what time is it now,TIME
what's the forecast,WEATHER
what's a good pun,JOKE
hi,GREET
Hello. How are you?,GREET
do you have any jokes?,JOKE
Yo,GREET
what is the current time?,TIME
I would like to hear a joke,JOKE
can you tell me the time right now,TIME
what's the weather like,WEATHER
please get me some pizza,PIZZA
tell me a good pun,JOKE
tell me a joke,JOKE
I'd like a couple slices of pizza,PIZZA
I feel like having pizza tonight,PIZZA
how have you been?,GREET
is it going to rain?,WEATHER
sup Jarvis,GREET
what time is it currently?,TIME
is it cloudy?,WEATHER
hello!,GREET
howdy,GREET
do I need an umbrella?,WEATHER
how's the weather looking?,WEATHER
is it sunny outside?,WEATHER
let's get pizza,PIZZA
is it nice today?,WEATHER
please tell me a funny joke,JOKE
Let's hear a joke,JOKE
make me laugh,JOKE
how strong is the wind today?,WEATHER
how're you doing,GREET
let's eat some pizza tonight,PIZZA
what's up?,GREET
what is the weather,WEATHER
please get me a slice of pizza,PIZZA
does anyone know the weather?,WEATHER
i'd like to order some pizza,PIZZA
i'm really hungry,PIZZA
whats it like outside today,WEATHER
anyone want to order food,PIZZA
can you tell me the time,TIME
make me laugh,JOKE
someone get me pizza,PIZZA
hi,GREET
hey,GREET
whats it like outside,WEATHER
tell me the weather,WEATHER
i want pizza,PIZZA
whats the time,TIME
what is the time?,TIME
time,TIME
its been a while,GREET
say something funny,JOKE
how about a joke,JOKE
anyone got the time?,TIME
tell me a joke,JOKE
good to see you,GREET
say a joke,JOKE
anyone got an idea for a joke?,JOKE
anyone got a joke they want to tell?,JOKE
how is the weather today?,WEATHER
want to order pizza?,PIZZA
i want to laugh,JOKE
whats up,GREET
when is it?,TIME
im starving,PIZZA
what time is it right now,TIME
whats new?,GREET
pizza is my favorite food,PIZZA
Pizza made me fat and greasy,PIZZA
I want something can make me laugh,JOKE
show me your humor,JOKE
Could you tell me the time?,TIME
"I am sad, tell me a Joke",JOKE
Pizza is not really healthy.,PIZZA
I care about current weather,WEATHER
hello,GREET
pizza for my breakfast is a good option,PIZZA
What is the time on your watch?,TIME
Is it raining today?,WEATHER
show me the weather,WEATHER
Is it hot today?,WEATHER
Can you tell me the weather?,WEATHER
what’s up,GREET
say a joke to prove you are not a boring guy,JOKE
"it is very late, pizza is our only option",PIZZA
good morning honey,GREET
"I am bored, I want a Joke",JOKE
I need to know the time!,TIME
I am hungry and I want to eat pizza,PIZZA
how are you,GREET
I cannot live without know the weather,WEATHER
tell me the current time,TIME
what does the clock say?,TIME
any good jokes for me?,JOKE
what time is it?,TIME
hi,GREET
hi man!,GREET
you looks great today,GREET
yoo,GREET
"long time no see, how’s your life?",GREET
nice to see you here,GREET
Is it cold today?,WEATHER
order a pizza for me now,PIZZA
tell me a funny story,JOKE
Is it snowing today?,WEATHER
Cheer me up!,JOKE
I want pizza for my dinner,PIZZA
I want to eat Dominos!,PIZZA
"I forgot my watch, I don’t know the time.",TIME
Time please!,TIME
Whatâ€™s the time,TIME
Tell me something funny ,JOKE
that was funny,JOKE
Is that rain,WEATHER
Howâ€™s it going,GREET
Are you hungry ,PIZZA
Letâ€™s get papa johns ,PIZZA
Nice to meet you,GREET
Do you have a watch ,TIME
Is it cloudy ,WEATHER
letâ€™s order pizza,PIZZA
How are you ,GREET
Is it warm out ,WEATHER
Is it going to snow,WEATHER
Whatâ€™s your bedtime ,TIME
I want some pizza,PIZZA
That was hilarious,JOKE
Letâ€™s make a pizza,PIZZA
What a nice day ,WEATHER
Letâ€™s get dominos ,PIZZA
Is it cold out ,WEATHER
Is it a nice day ,WEATHER
Whatâ€™s your name,GREET
Itâ€™s very early ,TIME
Have we met,GREET
Itâ€™s getting late ,TIME
Make me laugh,JOKE
Let me introduce myself,GREET
What does that clock say,TIME
Itâ€™s noon now ,TIME
"""Hi, how are you",GREET
Pleasure to meet you,GREET
hi ,GREET
what time is it ,TIME
Want to hear a joke,JOKE
My name is Colin ,GREET
I need a laugh,JOKE
Want to bake a pizza,PIZZA
what's the weather forecast for the rest of the week,WEATHER
how are you doing,GREET
how's the weather,WEATHER
share a joke please,JOKE
tell me a joke,JOKE
what toppings you want on the pizza,PIZZA
get us some fun,JOKE
do you want sausage on your slices,PIZZA
make me laugh,JOKE
how is the weather going to be tomorrow,WEATHER
hey jarvis,GREET
can i know the current time,TIME
how have you been jarvis,GREET
hello,GREET
weather forecast,WEATHER
is it a good day for walk,WEATHER
let us smile for a while,JOKE
tell me the time now,TIME
can i know the weather,WEATHER
pizza please,PIZZA
what is the time now,TIME
should we order some pizza,PIZZA
excuse me do you know the time,TIME
what's up jarvis,GREET
give me a funny story,JOKE
what's new,GREET
current time,TIME
what you been up to,GREET
what time is it,TIME
how is it going,GREET
would you like to share a joke,JOKE
any good pizza places near here,PIZZA
do you happen to know what time is it,TIME
nice to meet you,GREET
can i have a pizza,PIZZA
what is it like outside,WEATHER
tell us current weather jarvis,WEATHER
where do you want to go for pizza,PIZZA
order me a pizza,PIZZA
what is the time of day?,TIME
order a pizza,PIZZA
I want to order a pizza,PIZZA
what's up fam,GREET
what time is it?,TIME
is it snowing?,WEATHER
hola,GREET
is it hot outside?,WEATHER
what's the minute?,TIME
what's the time of day?,TIME
I want pepperoni pizza,PIZZA
I want cheese pizza,PIZZA
how do you do,GREET
I want comedy,JOKE
what is the hour?,TIME
is it cold out?,WEATHER
have you got the time?,TIME
tell me something funny,JOKE
how's it going?,GREET
what toppings do you like?,PIZZA
I don't want any toppings,PIZZA
what's the weather?,WEATHER
hello,GREET
got any good jokes?,JOKE
what's up?,GREET
Tell me the time,TIME
tell me a joke,JOKE
tell me about the weather,WEATHER
time?,TIME
are you good at comedy,JOKE
what is it like outside?,WEATHER
is it raining?,WEATHER
hi there,GREET
let's order a pizza,PIZZA
hi,GREET
What's the hour?,TIME
"""hey, what's new with you?",WEATHER
good afternoon,GREET
what is the time now?,PIZZA
what is it like outside,PIZZA
what time of day is it?,TIME
tell me the weather right now,WEATHER
what time is it?,GREET
can you please order a small pepperoni with cheese please,JOKE
please make me laugh,JOKE
is it nice outside?,JOKE
what is the time?,WEATHER
I would like a large pepperoni please,PIZZA
what's the time,GREET
tell me something funny,GREET
what's the current time?,GREET
what is the temperature?,TIME
please order a pizza,JOKE
is it sunny?,GREET
small cheese for me,JOKE
please tell me some jokes,GREET
what is something funny that you heard lately,TIME
tell me the current weather,JOKE
have you heard any good jokes lately?,WEATHER
hello,TIME
please get some pizza for me,WEATHER
hi,WEATHER
pick up the phone and get me some pizza,GREET
what is the weather right ow?,TIME
is it snowing?,PIZZA
good morning,TIME
place an order of pizza for me,WEATHER
what's up?,TIME
is it raining?,PIZZA
what is the hour?,JOKE
how's it going?,PIZZA
share a joke with me,PIZZA
tell me a joke,TIME
nice to meet you,WEATHER
I want to hear a joke,JOKE
do you know the hour?,TIME
do you know of any jokes?,JOKE
do you want pizza? we can get some together,PIZZA
check the weather for me,WEATHER
could you tell me a joke to make me laugh?,JOKE
what time is it now,TIME
"""jarvis, if you could tell me the time now, that would be helpful",TIME
is the weather good outside?,WEATHER
find the best joke and tell me,JOKE
can you watch the clock over there and tell me what time is it now?,TIME
tell me a joke,JOKE
could you please tell me what time is it now?,TIME
can you get a large size one with cheese? thanks,PIZZA
can you buy me a pizza downstairs?,PIZZA
tell me something funny,JOKE
how do you like the weather,WEATHER
order me a veggie pizza,PIZZA
how is the weather,WEATHER
what will the weather be like tomorrow,WEATHER
let's order some pizza,PIZZA
do you know what time is it now/,TIME
buy me a slice of pizza,PIZZA
what is your favorite joke?,JOKE
do you know any joke,JOKE
"""I want a pizza, can you get one for me",PIZZA
what is the funniest joke in the world,JOKE
what's the weather like,WEATHER
check the time please,TIME
"""I'm bored, tell me something amusing",JOKE
how many hours do we have to wait?,GREET
jarvis be a comedian,JOKE
is it afternoon yet?,PIZZA
make me laugh,PIZZA
sup,TIME
i want cheese pizza,TIME
snow,GREET
What time is it?,TIME
order me some pizza,WEATHER
months,JOKE
let's get some pizza,TIME
hi jarvis,GREET
what time does your watch say it is?,TIME
days,TIME
hey,GREET
call in for a pizza pie,PIZZA
cloudy,WEATHER
tell me a joke,JOKE
please get some pizza for me jarvis,PIZZA
hahaha that was hilarious,JOKE
it is sunny out today,WEATHER
will it rain today?,WEATHER
how has your week gone?,GREET
i want to hear something funny,JOKE
how has your day been?,GREET
is it hot outside?,WEATHER
what time is it right now?,TIME
what day was yesterday?,TIME
what time does it say on the clock?,TIME
what time of day is it?,TIME
tell me funny jokes jarvis,JOKE
tell me the current time,TIME
laugh,JOKE
year,TIME
i am hungry for pepperoni pizza,PIZZA
howdy,GREET
hello,GREET
what is up jarvis?,GREET
call in an order for a pizza,PIZZA
what is the temperature like outside today?,WEATHER
how have you been?,GREET
i am so hungry for a slice of pizza,PIZZA
get a large pizza,PIZZA
chuckle,JOKE
joke,JOKE
funny,JOKE
what's up?,GREET
is it cold outside?,WEATHER
jarvis be a stand up comic,JOKE
how are you,GREET
hello jarvis,GREET
I don't want anchovies,PIZZA
it is beautiful sunshine we are having,WEATHER
stone fired pizza,PIZZA
Why Did the Chicken croSs the RoAd,JOKE
How are you doing.,GREET
cloudy all day,WEATHER
which came first the chicken or the egg,JOKE
velcro -- what a rip off,JOKE
What a lot of rain,WEATHER
never throw out the baby with the bathwater,JOKE
Never stop thinking about tomorrow,JOKE
rain rain go away,WEATHER
Hello,GREET
Hi there,GREET
I want a pizza,PIZZA
How's it going dude,GREET
Pizza pizza PIZZA,PIZZA
that didn't take long,TIME
why did the chicken cross the road,JOKE
Welcome,GREET
what happened to the semi-colon that broke the law,JOKE
snow Snow and more SNOW,WEATHER
what is the hour,TIME
There are six seconds left in the game,TIME
can you tell me the time,TIME
get me a slice of pizza,PIZZA
mushrooms peppers and onions,PIZZA
Time time TIME tIME,TIME
its snowing outside,WEATHER
what time is it,TIME
more wet weather,WEATHER
take your coat off and stay a while,GREET
seasons greatings,GREET
how many government bureaucrats does it take to change a light bulb,JOKE
we only have a few minutes,TIME
It is a two hour drive,TIME
why should you never trust an atom,JOKE
Hi,GREET
mix of sun and clouds,WEATHER
that took a while,TIME
what TIME is it,TIME
What time is it?,TIME
How cold will it be today?,WEATHER
Is it nice outside?,WEATHER
Will it rain today?,WEATHER
What is the weather right now?,WEATHER
What is the time?,TIME
Are you there?,GREET
Hi,GREET
What's up?,GREET
Are you online?,GREET
Greetings!,GREET
I am starving!,PIZZA
I'm bored,JOKE
Will I need an umbrella today?,WEATHER
Tell me something funny!,JOKE
Where are you?,GREET
Make me laugh!,JOKE
Please order some food.,PIZZA
How early is it?,TIME
How cold is it outside?,WEATHER
I am feeling hungry,PIZZA
I would like a slice of pizza,PIZZA
Can you order some lunch?,PIZZA
I am afraid I will be late,TIME
Hi Jarvis!,GREET
Have you heard any good jokes lately?,JOKE
Entertain me,JOKE
Do you know any jokes?,JOKE
it is lunch time!,PIZZA
What time do you have?,TIME
Hello,GREET
Time?,TIME
What hour is it?,TIME
Will it be sunny?,WEATHER
Knock Knock!,JOKE
Food?,PIZZA
Could you cheer me up?,JOKE
Please get some pizza,PIZZA
Tell a joke!,JOKE
What is the weather like today?,WEATHER
How much will it snow today?,WEATHER
How are you?,GREET
